'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Header 1,"'Articles",'0,'54.29687500
'1,'Title 1,"'Safety and efficacy of multimatrix mesalamine in paediatric patients with mild-to-moderate ulcerative colitis: a phase 3, randomised, double-blind study",'1,'57.76367188
'1,'Figure 1,"",'2,'83.39843750
'1,'Text 1,"'Nicholas Michael Croft, ab* Bartosz Korczowski,ᶜ Jarostaw Kierkus,d Beatriz Caballero,e and Manoj Kumar Thakur",'3,'90.82031250
'1,'Text 2,"'ᵃFaculty of Medicine, Blizard Institute, Queen Mary University of London, London, UK ᵇPaediatric Gastroenterology, Royal London Children's Hospital, Barts Health NHS Trust, London, UK ᶜDepartment of Pediatrics and Pediatric Gastroenterology, College of Medical Sciences, University of Rzeszów, Rzeszów, Poland ᵈDepartment of Gastroenterology, Hepatology and Feeding Disorders, Children's Memorial Health Institute, Warsaw, Poland eTakeda Clinical Science, Zurich, Switzerland ⁺Takeda Development Center Americas, Inc., Lexington, MA, USA",'4,'84.32617188
'1,'Figure 2,"",'5,'68.84765625
'1,'Section header 1,"'Summary",'6,'85.05859375
'1,'Text 3,"'Background Previous studies have demonstrated the tolerability and efficacy of multimatrix mesalamine in inducing and maintaining remission in adults with mild-to-moderate ulcerative colitis (UC). We evaluated the safety and efficacy of low-dose and high-dose once-daily multimatrix mesalamine in children and adolescents with mild-to- moderate UC or those in remission.",'7,'96.38671875
'1,'Text 4,"'Methods This prospective, randomised, parallel-group, phase 3 study (8-week double-blind acute [DBA] phase; 26- week double-blind maintenance [DBM] phase; and an additional 8-week, open-label acute [OLA] phase) was conducted in 33 sites across North America, Europe, and the Middle East between December 12, 2014, and November 28, 2018. Eligible patients aged 5-17 years and weighing 18-90 kg were randomised 1:1 to either low (900-2400 mg) or high (1800-4800 mg) oral doses of multimatrix mesalamine once daily, stratified by body weight. Interactive response technology was used for randomisation. The primary efficacy outcome was to estimate the clinical response of multimatrix mesalamine (two doses) in different weight groups. Efficacy and safety analyses were conducted in the safety analysis set (Clinicaltrials.gov: NCT02093663; Study completed).",'8,'95.70312500
'1,'Text 5,"'Findings Overall, 107 patients were randomised into the DBA (n = 54) or DBM phase (n = 88; directly or after completing the double-blind or OLA phases); the overall safety analysis set included 105 patients. In the DBA phase, the high-dose group (n = 17; 65.4%) achieved a higher clinical response rate than the low-dose (n = 10; 37.0%) group; difference 28.3% (95% CI: 2.5-54.2; p = 0.039), odds ratio (OR) 3.21 (95% CI: 1.04-9.88). In the DBM phase at Week 26, similar proportions of patients maintained clinical response in the low-dose (n = 23; 54.8%) and high-dose (n = 24; 53.3%) groups: OR 0.99 (0.42-2.34); P = 0.981. Overall, 246 treatment-emergent adverse events (TEAEs) were reported in 73 patients (69.5%); 23 TEAEs in 14 patients (13.3%) were considered related to the study drug. No treatment-related deaths were reported.",'9,'96.58203125
'1,'Text 6,"'Interpretation Our findings suggested that the benefit-risk ratio of once-daily multimatrix mesalamine in paediatric patients was favourable and comparable with that reported in adults with mild-to-moderate UC.",'10,'92.87109375
'1,'Text 7,"'Funding Shire Development LLC, a Takeda company.",'11,'89.30664063
'1,'Text 8,"'Copyright © 2023 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/)",'12,'95.65429688
'1,'Text 9,"'Keywords: Efficacy; Mild-to-moderate ulcerative colitis; Multimatrix mesalamine; Paediatric; Phase 3 study; Safety; Trial",'13,'95.84960938
'1,'Section header 2,"'Introduction",'14,'81.05468750
'1,'Text 10,"'Ulcerative colitis (UC) is a chronic inflammatory disease of the colon and rectum whose major clinical feature is",'15,'97.21679688
'1,'Text 11,"'bloody diarrhoea.¹ The characteristic disease course of UC is marked by remissions and exacerbations over a number of years.² Paediatric-onset UC constitutes approximately",'16,'92.28515625
'1,'Text 12,"'eClinicalMedicine 2023;65: 102232",'17,'34.76562500
'1,'Text 13,"'Published Online 6 October 2023 https://doi.org/10. 1016/j.eclinm.2023. 102232",'18,'86.18164063
'1,'Footer 1,"'*Corresponding author. Faculty of Medicine, Blizard Institute, Queen Mary University of London, 4 Newark Street, London E1 2AT, UK. E-mail address: n.m.croft@qmul.ac.uk (N.M. Croft).",'19,'65.33203125
'1,'Footer 2,"'www.thelancet.com Vol 65 November, 2023",'20,'76.95312500
'1,'Page number 1,"'1",'21,'66.65039063
'2,'Title 2,"'Articles",'22,'51.36718750
'2,'Section header 3,"'Research in context",'23,'55.27343750
'2,'Section header 4,"'Evidence before this study",'24,'74.07226563
'2,'Text 14,"'Multimatrix mesalamine, a once-daily, high-strength, oral formulation of mesalamine, is efficacious in induction and maintenance of ulcerative colitis (UC) remission in adult patients with mild-to-moderate disease. However, to date, no randomised controlled trials (RCTs) have been conducted on the safety and efficacy of once-daily multimatrix mesalamine in children and adolescents with UC. PubMed was searched for articles containing the terms ""multimatrix mesalamine"", ""ulcerative colitis"", ""randomized trial"", and ""adolescent OR children OR pediatric"". The date range used was from database inception to August 1, 2023.",'25,'98.68164063
'2,'Section header 5,"'Added value of this study",'26,'60.93750000
'2,'Text 15,"'To our knowledge, this was the first randomised study of once-daily mesalamine in children. It has demonstrated the efficacy of once-daily oral dosing of multimatrix mesalamine in inducing and maintaining clinical response in paediatric patients with mild-to-moderate UC, or those in remission.",'27,'94.43359375
'2,'Section header 6,"'Implications of all the available evidence",'28,'56.10351563
'2,'Text 16,"'The results from this study show that multimatrix mesalamine offers a favourable benefit-risk profile in paediatric patients with mild-to-moderate UC and provides evidence to support once-daily dosing in children.",'29,'92.38281250
'2,'Text 17,"'15%-20% of all UC cases, with incidence ranging from one to four of 100,000 individuals per year in North America and Europe. 3,4 Most children with UC are diag- nosed in late childhood and adolescence, although it can also occur earlier in life.¹ The disease course tends to be more severe in children than in adults, with more exten- sive localisation.⁵ Children with UC require hospital- isation for acute severe exacerbation (25%-30% over 3-4 years) more often than adults, and they more often un- dergo colectomy for medically refractory disease.6-¹ In children, a colectomy rate of 30%-40% is seen at 10 years compared with that of 20% in adults with UC.",'30,'50.19531250
'2,'Text 18,"'Mesalamine (5-aminosalicylic acid [5-ASA]), a stan- dard first-line treatment for mild-to-moderate UC, 11.12 is well tolerated and has a comparable safety profile in children and adults. 10 Oral mesalamine preparations in children are typically administered in two to three divided doses daily. 13,14 Multimatrix mesalamine is a once-daily, high-strength, oral formulation of 5-ASA that is effective for both the induction and maintenance of UC remission in adult patients with mild-to-moderate UC.¹⁵⁻¹⁷ Induction treatment with multimatrix mesal- amine is well tolerated with similar rates of treatment- emergent adverse events (TEAEs) as observed among patients treated with a placebo; moreover, maintenance with multimatrix mesalamine was found to be well tolerated in a pooled analysis of long-term safety. 17,18 Currently, limited data are available on the safety and efficacy of once-daily multimatrix mesalamine in chil- dren and adolescents with UC.",'31,'52.34375000
'2,'Text 19,"'This study aimed to evaluate the safety and efficacy of multimatrix mesalamine in children and adolescents with mild-to-moderate UC or those in remission, and to select an appropriate once-daily dosage in the paediatric population across a range of weight groups.",'32,'44.94628906
'2,'Section header 7,"'Methods",'33,'54.78515625
'2,'Section header 8,"'Study design and participants",'34,'36.79199219
'2,'Text 20,"'This prospective, multicentre, randomised, double- blind, parallel-group, phase 3 study was a Pediatric",'35,'92.38281250
'2,'Text 21,"'Research Equity Act post-approval commitment with the United States (US) Food and Drug Administration (FDA) intended to estimate clinical response for two doses (low and high) across a range of weight groups. This study was conducted in 33 sites across North America, Europe, and the Middle East and screened 165 patients for eligibility (Fig. 1). The inclusion and exclu- sion criteria used are detailed in the Supplementary Methods and Supplementary Table S1.",'36,'88.42773438
'2,'Text 22,"'The study included a screening period of 3-21 days, an 8-week double-blind acute (DBA) phase, and a 26- week double-blind maintenance (DBM) phase (Fig. 2). There was an additional 8-week, open-label acute (OLA) phase for patients who did not achieve a clinical response, who were discontinued from the DBA phase and met certain criteria, or who were discontinued from the DBA phase after ≥2 weeks and, in the investigator's opinion, did not benefit from treatment in the DBA phase. Clinical response was defined as partial Ulcerative Colitis Disease Activity Index (UC-DAI) ≤1 (with rectal bleeding = 0, stool frequency ≤1, and Physician's Global Assessment [PGA] = 0) (Supplementary Table S2).",'37,'87.01171875
'2,'Text 23,"'This study was conducted in accordance with the International Council for Harmonisation-Good Clinical Practice guidelines, Declaration of Helsinki, and the local ethical and legal requirements. Each patient or the patient's legally authorised representative, as applicable, provided written informed consent.",'38,'66.01562500
'2,'Section header 9,"'Randomisation and masking",'39,'81.10351563
'2,'Text 24,"'In the DBA phase, patients were randomised in a 1:1 ratio into low (900-2400 mg) or high (1800-4800 mg) once- daily doses of multimatrix mesalamine. Eligible patients from the DBA or OLA phase were re-randomised into the DBM phase. Randomisation was stratified by body weight group. Patients and investigators were blinded to the study treatment. The allocation sequence was generated by interactive response technology, and the blinding part was ensured by keeping both doses of multimatrix mesal- amine in identical blister packs.",'40,'95.94726563
'2,'Page number 2,"'2",'41,'88.47656250
'2,'Footer 3,"'www.thelancet.com Vol 65 November, 2023",'42,'66.55273438
'3,'Header 2,"'Articles",'43,'56.59179688
'3,'Figure 3,"",'44,'98.73046875
'3,'Text 25,"'Fig. 1: Patient disposition flow diagram. DBA = double-blind acute; DBM = double-blind maintenance; OLA = open-label acute; PGA = Physician's Global Assessment; UC-DAI = Ulcerative Colitis Disease Activity Index. *Patients with a clinical response (i.e., partial UC-DAI ≤1 [defined as rectal bleeding = 0, stool frequency ≤1, and PGA = 0]) after completion of treatment in either the DBA or OLA phase were eligible for re-randomisation into the DBM phase provided they still met all baseline visit (Visit 2) inclusion and exclusion criteria (where reassessed). The overall safety analysis set consisted of randomised patients who had taken at least one dose of investigational product.",'45,'92.23632813
'3,'Footer 4,"'www.thelancet.com Vol 65 November, 2023",'46,'91.40625000
'3,'Page number 3,"'3",'47,'81.54296875
'4,'Title 3,"'Articles",'48,'39.89257813
'4,'Figure 4,"",'49,'97.07031250
'4,'Text 26,"'Fig. 2: Study design. DBA = double-blind acute; DBM = double-blind maintenance; OLA = open-label acute; PGA = Physician's Global Assessment; UC-DAI = Ulcerative Colitis Disease Activity Index. *Patients with partial UC-DAI ≥2 (with a combined rectal bleeding and stool frequency score of ≥1 and PGA = 1 or 2) and with mucosal appearance (endoscopy score) = 2 or 3. Patients with partial UC-DAI ≤1 (with rectal bleeding = 0 and stool frequency ≤1 and PGA = 0) and with mucosal appearance (endoscopy score) = 0 or 1.",'50,'97.31445313
'4,'Section header 10,"'Procedures",'51,'32.86132813
'4,'Text 27,"'For the purpose of this study, two paediatric formulations (300- and 600-mg tablets) were developed, which were smaller in size and of lower dosages than the commer- cially available formulation (1.2 g). Multimatrix mesal- amine was administered based on the patient's body weight: 900 or 1800 mg once daily for patients weighing 18 to ≤23 kg, 1200 or 2400 mg once daily for patients weighing >23 to ≤35 kg, 1800 or 3600 mg once daily for patients weighing >35 to ≤50 kg, and 2400 or 4800 mg once daily for patients weighing >50 to ≤90 kg. In the OLA phase, patients were treated with a high-dose multi- matrix mesalamine as appropriate for their weight group.",'52,'97.65625000
'4,'Text 28,"'After the screening visit (Visit 1), patients who were eligible proceeded to the baseline visit (Visit 2). At Visit 2, patients with partial UC-DAI ≥2 (with a combined rectal bleeding and stool frequency score of ≥1 and PGA = 1 or 2) and with mucosal appearance (endoscopy score) = 2 or 3 were eligible to enter the DBA phase, and patients with partial UC-DAI ≤1 (with rectal bleeding = 0 and stool frequency ≤1 and PGA = 0) and with mucosal appearance (endoscopy score) = 0 or 1 were eligible to enter the DBM phase. Patients with a clinical response after treatment completion in either the DBA or OLA phase were eligible to enter the DBM phase based on their partial UC-DAI scores (i.e., without",'53,'95.36132813
'4,'Page number 4,"'4",'54,'90.42968750
'4,'Footer 5,"'www.thelancet.com Vol 65 November, 2023",'55,'82.37304688
'5,'Header 3,"'Articles",'56,'58.20312500
'5,'Text 29,"'additional endoscopy). Patients without a clinical response after treatment completion in both the DBA and OLA phases were not eligible to enter the DBM phase and were discontinued.",'57,'68.75000000
'5,'Text 30,"'Patients were instructed to bring their unused study medication and empty/used study medication pack- aging at every visit. Treatment compliance was assessed at each visit at the container/packaging level for unused study medication that was contained within the original tamper-evident sealed container or at the individual count level for opened containers/packaging; compli- ance was calculated for all study visits after the baseline visit except at follow-up. Patients were considered compliant if they had taken 80%-120% of their study medication.",'58,'82.56835938
'5,'Section header 11,"'Outcomes",'59,'94.77539063
'5,'Text 31,"'The different outcome measures used in this study, such as PGA, Pediatric Ulcerative Colitis Activity Index (PUCAI), and UC-DAI, are detailed in Supplementary Table S2. The primary outcomes were the proportion of patients with a clinical response at Week 8 for the DBA phase and the proportion of patients who had maintained a clinical response at Week 26 for the DBM phase. Secondary outcomes included the proportion of patients with a clinical and endoscopic response at Week 8 (DBA phase) and Week 26 (DBM phase); the change in Daily Ulcerative Colitis Scale (DUCS) score¹⁹ for children and caregivers from baseline to Week 8 (DBA phase) and from Week 0 to Week 26 (DBM phase); the proportion of patients with improvement (change of ≥20 points) in PUCAI score²⁰ from baseline to Week 8 (DBA phase); and the proportion of patients in remis- sion (PUCAI <10) at Week 26 (DBM phase). Endoscopic activity was assessed using the Mayo endoscopic score. Clinical and endoscopic response was defined as UC- DAI ≤2 with rectal bleeding = 0, stool frequency ≤1, and PGA = 0 and with mucosal healing (endoscopy score ≤1) based on central and local reading; in addi- tion, in the DBA phase, there must have been a ≥1-point reduction in endoscopy score from baseline. The DUCS is a content-valid patient/observer-reported outcome instrument for capturing the daily signs and symptoms of UC in paediatric patients aged 5-17 years with mild- to-moderate UC in a clinical trial setting.¹⁹",'60,'91.06445313
'5,'Text 32,"'Safety was assessed by reviewing adverse events, clinical laboratory tests, physical examinations, vital signs, medical and medication history, and stool char- acteristics. Adverse events were coded using the Medical Dictionary for Regulatory Activities (MedDRA). TEAEs were classified according to their severity (mild, mod- erate, or severe). Serious TEAEs were defined as those that resulted in death, congenital anomalies or birth defects, persistent or significant disability, inpatient hospitalisation, or prolonged hospitalisation, or those considered life-threatening or important medical events. The number and percentage of patients with any TEAEs,",'61,'71.04492188
'5,'Text 33,"'serious TEAEs, TEAEs related to the study drug, TEAEs leading to discontinuation of the study drug, and TEAEs leading to death were summarised.",'62,'97.46093750
'5,'Section header 12,"'Statistical analysis",'63,'96.92382813
'5,'Text 34,"'This study was an estimation study with no formal hy- pothesis testing; therefore, the study was not powered to detect differences between treatment groups. More than 100 patients were to be screened and up to 80 patients were to be enrolled in the DBA phase of the study. After agreement with the US FDA, the sample size for the DBA phase was reduced to 53 patients owing to diffi- culties in recruitment. p-values are presented as descriptive statistics only. The overall safety analysis set consisted of randomised patients who had taken ≥1 dose of multimatrix mesalamine. An independent data monitoring committee reviewed the safety data gener- ated during the study.",'64,'97.80273438
'5,'Text 35,"'In the DBA phase, the primary efficacy outcome was compared between treatment groups using an uncor- rected chi-square test on the DBA safety analysis set. In the DBM phase, the primary efficacy outcome was compared between the treatment groups using a Cochran-Mantel-Haenszel test stratified for three levels of Week 8 responder status (entered DBM phase directly, responder at Week 8 of the DBA phase, or responder at Week 8 of the OLA phase) in the DBM phase safety analysis set. Analyses were performed us- ing SAS version 9.2 or higher (SAS Institute Inc., Cary, NC, USA). The detailed statistical analysis plan used in this study is presented in the Supplementary Material. This study is registered with ClinicalTrials.gov (NCT02093663).",'65,'97.21679688
'5,'Section header 13,"'Role of the funding source",'66,'94.67773438
'5,'Text 36,"'The funder of the study had a role in the study design, data collection, data analysis/interpretation, clinical study report writing, and the decision to submit the manuscript. All authors had full access to all the data in the study and accept responsibility for the decision to submit for publication.",'67,'98.29101563
'5,'Section header 14,"'Results",'68,'94.14062500
'5,'Text 37,"'Between December 12, 2014, and November 28, 2018, a total of 165 patients were screened, of whom 107 met the enrolment criteria and were randomised into the DBA (n = 54) or DBM phase (n = 88), either directly or after completing treatment in the DBA or OLA phase (Fig. 1). The safety analysis set had 105 patients; the DBA phase, OLA phase, and DBM phase safety analysis sets had 53, 18, and 87 patients, respectively. In the DBM phase safety analysis set, 52 entered directly, 27 entered through the DBA phase, and eight entered through the OLA phase (Fig. 1). Overall, 65 patients (60.7%) completed the study. Among the 42 patients (39.3%) who did not complete the study, 35",'69,'98.38867188
'5,'Footer 6,"'www.thelancet.com Vol 65 November, 2023",'70,'89.55078125
'5,'Page number 5,"'5",'71,'80.32226563
'6,'Title 4,"'Articles",'72,'39.33105469
'6,'Text 38,"'discontinued from their last study phase owing to lack of efficacy (21.5%), adverse events (6.5%), or other reason (3.7%); four (3.7%) were not enrolled in the DBM phase; two (1.9%) did not continue in the study; and one (0.9%) did not indicate a reason for withdrawal (Fig. 1, Supplementary Table S3).",'73,'97.11914063
'6,'Text 39,"'The patient populations in the three study phases were not mutually exclusive; as such, direct comparison of the baseline demographic characteristics is not possible, and data interpretation needs to be performed with caution. The median age of patients was 15.0 years (range: 5-17 years; Table 1). The safety analysis set included 10 patients (9.5%) aged 5-10 years and 95 patients (90.5%) aged 11-17 years. There were similar proportions of male (49.5%) and female (50.5%) pa- tients. Patient demographics by phase were similar to those observed overall, with the exceptions of more male than female patients in the DBA (64.2% VS 35.8%) and OLA (72.2% vs 27.8%) phases and of more female than male patients in the DBM phase (55.2% VS 44.8%; Table 1). For the DBA and DBM phases, no notable differences were seen between patients receiving low- dose or high-dose multimatrix mesalamine. Mean (standard deviation [SD]) time since diagnosis was 16.6 (31.5) months, and 58 patients (55.2%) were not newly diagnosed. The mean (SD) number of acute UC epi- sodes in the past year and since diagnosis was 0.9 (0.9) and 1.6 (1.3), respectively. The extent of disease was classified only for patients who were not newly diag- nosed; it was noted as left-sided in 22 patients (21.0%) and involved the transverse colon in 14 patients (13.3%); 21 patients (20.0%) had pancolitis. Patient characteris- tics by phase were similar to those observed overall, except that most patients in the DBA (77.4%) and OLA (77.8%) phases were newly diagnosed (Table 1). Overall, 87 (82.9%) patients received prior medications, and 102 (97.1%) reported taking concomitant medications. Aminosalicylic acid and similar agents were the most common type of medications taken prior to and during the study (Table 1).",'74,'98.58398438
'6,'Text 40,"'Baseline disease activity scores confirmed that most patients had mild-to-moderate UC and are presented in Table 1. Particularly, in the DBA phase, the mean (SD) partial UC-DAI score was 4.0 (1.5) in the low-dose group (n = 27) and 3.9 (1.7) in the high-dose group (n = 25). The mean (SD) partial UC-DAI score in the DBM phase was 0.1 (0.3) and 0.2 (0.4) in the low-dose (n = 41) and high-dose (n = 44) groups, respectively. In the OLA phase, the partial UC-DAI score was 2.8 (1.7) (n = 16). The mean (SD) full UC-DAI score based on central reading was 5.6 (1.7) in the low-dose group (n = 25) and 6.0 (1.9) in the high-dose group (n = 23) in the DBA phase; 0.6 (0.7) in the low-dose group (n = 26) and 0.6 (0.6) in the high-dose group (n = 29) in the DBM phase; and 1.7 (-) in the high-dose group (n = 1) in the OLA phase. In the DBA phase, no (0%) and two (7.7%) pa- tients in the low-dose and high-dose groups,",'75,'94.43359375
'6,'Text 41,"'respectively, were in remission (PUCAI score <10). In the DBM phase, 39 (92.9%) patients in the low-dose group and 39 (86.7%) in the high-dose group were in remission. In the OLA phase, four (22.2%) patients were in remission.",'76,'96.43554688
'6,'Text 42,"'In the DBA phase, the multimatrix mesalamine dose per kg for the low-dose and high-dose groups, respectively, were 35.6 and 77.4 mg for patients with baseline weight of >23 to ≤35 kg, 41.6 and 84.7 mg for patients weighing >35 to ≤50 kg, and 38.9 and 78.5 mg for patients weighing >50 to ≤90 kg (Table 2). In the DBM phase, the multimatrix mesalamine dose per kg for the low-dose and high-dose groups, respectively, was 39.1 and 89.3 mg for patients weighing 18 to ≤23 kg, 37.4 and 82.3 mg for patients weighing >23 to ≤35 kg, 40.7 and 83.3 mg for patients weighing >35 to ≤50 kg, and 39.3 and 76.6 mg for patients weighing >50 to ≤90 kg (Table 2).",'77,'96.14257813
'6,'Text 43,"'During the DBA phase, most patients (52 [98.1%]) took 80%-120% of their study medication (26 patients [96.3%] in the low-dose group and 26 patients [100.0%] in the high-dose group); of these 52 patients, 20 (38.5%) and 32 (61.5%) were 5-13 and 14-17 years of age, respectively. During the OLA phase, 14 patients (77.8%) were 80%-120% compliant; of the 14 patients, eight (57.1%) were 5-13 years of age and six (42.9%) were 14-17 years of age. During the DBM phase, most pa- tients (81 [93.1%]) were 80%-120% compliant (38 pa- tients [90.5%] in the low-dose group and 43 patients [95.6%] in the high-dose group); of these 81 patients, 24 (29.6%) were 5-13 years of age and 57 (70.4%) were 14-17 years of age.",'78,'96.53320313
'6,'Text 44,"'In the DBA phase, a higher clinical response rate at Week 8 was observed among patients on high-dose (n = 17; 65.4%) vs low-dose (n = 10; 37.0%) multi- matrix mesalamine (difference = 28.3% [95% CI: 2.5-54.2]; Fig. 3); the odds ratio (OR) was 3.21 (95% CI: 1.04-9.88 [p = 0.039]). In the DBM phase, similar pro- portions of patients maintained clinical response at Week 26 in the low-dose (n = 23; 54.8%) and high-dose (n = 24; 53.3%) groups (difference = -1.4% [95% CI: -22.4 to 19.5]); the OR was 0.99 (95% CI: 0.42-2.34; p = 0.98; Fig. 3). Sensitivity analyses were performed for both the DBA and DBM phases on the following pa- rameters: modified clinical response, complete case analysis, and last observation carried forward. The re- sults were similar to those from the primary efficacy outcome analysis.",'79,'97.80273438
'6,'Text 45,"'In the DBA phase, interpretation of the proportion of patients with a clinical and endoscopic response at Week 8 was limited by the small number of patients with endoscopic data available at both Week 0 and Week 8 (two of 27 patients for low-dose and three of 26 patients for high-dose multimatrix mesalamine). In the DBM phase, based on central reading at Week 26, 13 (31.0%) VS 11 (24.4%) patients receiving low-dose vs high-dose mesalamine had a clinical and endoscopic response. The difference between treatment groups was -6.5%",'80,'97.31445313
'6,'Page number 6,"'6",'81,'94.97070313
'6,'Footer 7,"'www.thelancet.com Vol 65 November, 2023",'82,'79.19921875
'7,'Header 4,"'Articles",'83,'62.25585938
'7,'Table 1,"",'84,'97.80273438
'7,'Footer 8,"'www.thelancet.com Vol 65 November, 2023",'85,'84.22851563
'7,'Page number 7,"'7",'86,'94.38476563
'8,'Title 5,"'Articles",'87,'41.40625000
'8,'Table 2,"",'88,'95.70312500
'8,'Text 46,"'Table 1: Demographic and baseline clinical characteristics: overall safety analysis set (N = 105).ᵃ",'89,'49.51171875
'8,'Text 47,"'(95% CI: -25.3 to 12.3; p = 0.54; Fig. 4A). Based on local reading at Week 26, 18 (42.9%) vs 12 (26.7%) patients receiving low-dose VS high-dose multimatrix mesal- amine had a clinical and endoscopic response. The difference between treatment groups was -16.2% (95% CI: -36.0 to 3.6; p = 0.13; Fig. 4A).",'90,'96.09375000
'8,'Text 48,"'In the DBA phase, the least-squares (LS) mean (standard error of the mean [SEM]) change from base- line in DUCS score at Week 8 was -17.9 (2.83) vs -23.3 (2.56) for patients in the low-dose vs high-dose groups. The difference in LS mean between treatment groups was -5.4 (95% CI: -13.1 to 2.4; p = 0.17; Fig. 4B). In the",'91,'94.87304688
'8,'Table 3,"",'92,'95.16601563
'8,'Page number 8,"'8",'93,'92.72460938
'8,'Footer 9,"'www.thelancet.com Vol 65 November, 2023",'94,'86.91406250
'9,'Header 5,"'Articles",'95,'81.34765625
'9,'Figure 5,"",'96,'99.26757813
'9,'Text 49,"'Fig. 3: Proportion of patients with clinical response to multimatrix mesalamine in the DBA (Week 8) and DBM (Week 26) phases (primary efficacy outcomes). CI = confidence interval; DBA = double-blind acute; DBM = double-blind maintenance; OR = odds ratio. *Dif- ference between the low-dose and high-dose multimatrix mesalamine treatment groups. Odds ratio was calculated between the high-dose and low-dose multimatrix mesalamine treatment groups.",'97,'97.99804688
