'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Title 1,"'Supplemental Online Content",'0,'82.37304688
'1,'Text 1,"'Louis E, Schreiber S, Panaccione R, et al; INSPIRE and COMMAND Study Group. Risankizumab for ulcerative colitis: two randomized clinical trials. JAMA. Published online July 22, 2024. doi:10.1001/jama.2024.12414",'1,'97.02148438
'1,'Text 2,"'eMethods 1. Methods and Statistical Analysis for Phase 2b Induction Substudy",'2,'92.23632813
'1,'Text 3,"'eMethods 2. Full Patient Eligibility Criteria in the Final Protocol Amendment of the Phase 2b and Phase 3 INSPIRE Induction Study",'3,'96.77734375
'1,'Text 4,"'eMethods 3. Supplementary Methods for the Phase 3 Induction and Maintenance Studies",'4,'94.62890625
'1,'Text 5,"'eFigure 1. Key Study Design Features and Trial Profile of Induction and Maintenance Studies",'5,'96.04492188
'1,'Text 6,"'eFigure 2. Trial Profile of the Dose-Ranging Phase 2b Substudy",'6,'96.38671875
'1,'Text 7,"'eFigure 3. Key Clinical and Endoscopic Endpoints and Inflammatory Biomarkers for the Dose-Ranging Phase 2b Substudy",'7,'97.50976563
'1,'Text 8,"'eFigure 4. Graphical Multiple-Testing Procedure for the Phase 3 Induction Study",'8,'96.43554688
'1,'Text 9,"'eFigure 5. Graphical Multiple-Testing Procedure For the Phase 3 Maintenance Study",'9,'96.97265625
'1,'Text 10,"'eFigure 6. Clinical Remission per Adapted Mayo Score by Subgroup Analysis at Week 12 of Induction and Week 52 of Maintenance",'10,'97.02148438
'1,'Text 11,"'eFigure 7. Percent of Patients Who Achieved Histologic Remission at Week 12 of Induction and Week 52 of Maintenance",'11,'95.50781250
'1,'Text 12,"'eFigure 8. Percent of Patients that Achieved Clinical Response per Partial Adapted Mayo Score Through Week 12 of INSPIRE",'12,'95.45898438
'1,'Text 13,"'eFigure 9. Patient-Reported Outcomes Among Patients Who Reported Having Symptoms at Baseline of Phase 3 Induction",'13,'91.55273438
'1,'Text 14,"'eFigure 10. Discontinuation of Corticosteroids at Week 52 of Maintenance Among Patients Taking Corticosteroids at Baseline of Induction © 2024 American Medical Association. All rights reserved.",'14,'27.07519531
'2,'Text 15,"'eFigure 11. Change From Baseline in Biomarkers During the Phase 3 Induction and Maintenance Studies",'15,'97.50976563
'2,'Text 16,"'eTable 1. Baseline Characteristics for the Dose-Ranging Phase 2b Induction Substudy",'16,'97.85156250
'2,'Text 17,"'eTable 2. Treatment-Emergent Adverse Events From the Dose-Ranging Phase 2b Induction Substudy",'17,'97.80273438
'2,'Text 18,"'eTable 3. Additional Baseline Characteristics and Demographics",'18,'96.72851563
'2,'Text 19,"'eTable 4. Sensitivity Analysis for the Primary Endpoint Clinical Remission per Adapted Mayo Score for the Phase 3 Induction and Maintenance Studies",'19,'95.11718750
'2,'Text 20,"'eTable 5. Primary and Secondary Endpoints at Week 52 of Maintenance for All Patients Who Responded to 12-Week Risankizumab 1200 mg Induction Therapy and Were Randomized to Maintenance",'20,'94.67773438
'2,'Text 21,"'eTable 6. Prespecified Primary and Secondary Endpoints in Non-Advanced and Advanced Therapy-Inadequate Response Patients in the Phase 3 Induction and Maintenance Studies",'21,'95.75195313
'2,'Text 22,"'eTable 7. Exposure-Adjusted Event Rates for Treatment-Emergent Adverse Events Through Week 12 of Induction and Week 52 of Maintenance",'22,'96.48437500
'2,'Text 23,"'eTable 8. Patients Meeting Criteria for Liver-Related Elevations During Induction and Maintenance",'23,'97.26562500
'2,'Text 24,"'eTable 9. Summary of Mean Change From Baseline in Key Chemistry Values During Induction and Maintenance",'24,'96.77734375
'2,'Text 25,"'eTable 10. Summary of Treatment-Emergent Adverse Events Through Week 52 of Maintenance for All Patients Who Responded to 12-Week Risankizumab 1200 mg Intravenous Induction Therapy and Were Randomized to Maintenance",'25,'96.14257813
'2,'Text 26,"'eResults 1. Results for the Dose-Ranging Phase 2b Induction Substudy",'26,'96.72851563
'2,'Text 27,"'eResults 2. Additional Safety and Efficacy Outcomes for the Phase 3 Induction and Maintenance Study",'27,'97.21679688
'2,'Text 28,"'eResults 3. Pharmacokinetics and Immunogenicity Results From Induction and Maintenance Studies",'28,'96.87500000
'2,'Text 29,"'eReferences",'29,'71.24023438
'2,'Text 30,"'This supplemental material has been provided by the authors to give readers additional information about their work.",'30,'82.95898438
'2,'Footer 1,"'© 2024 American Medical Association. All rights reserved.",'31,'52.92968750
'3,'Text 31,"'eMethods 1. Methods and Statistical Analysis for Phase 2b Induction Substudy",'32,'73.58398438
'3,'Section header 1,"'Study Design and Patients:",'33,'47.16796875
'3,'Text 32,"'The phase 2b substudy consisted of a dose-ranging, double-blind, placebo-controlled, multicenter 12-week induction substudy, an open- label period, and an extension period for patients that failed to achieve clinical response per Adapted Mayo score at week 12 (eFigure 1). The phase 2b induction substudy included a screening period of up to 35 days and an induction period of 12 weeks, with a 140-day follow-up period from the last dose of the study drug. The phase 2b/3 induction studies were operationally seamless, where patients could continue to enroll into an open-label risankizumab 1800 mg intravenous (IV) induction group during the analysis of the phase 2b dose-ranging study (eFigure 1).",'34,'96.14257813
'3,'Text 33,"'Patients aged between 18 and 80 years of age, with moderately to severely active ulcerative colitis, defined by an Adapted Mayo score of 5 to 9 points, endoscopic subscore of 2 or 3 (confirmed by central review), and a confirmed diagnosis of ulcerative colitis for at least 3 months prior to baseline, were eligible for the study. For the phase 2b dose-ranging substudy, all patients were required to have previous intolerance or inadequate response to 1 or more prior approved advanced therapies for ulcerative colitis (including infliximab, adalimumab, golimumab, vedolizumab). Patients with prior exposure to p40 inhibitors (eg, ustekinumab) or p19 inhibitors (eg, risankizumab, mirikizumab, guselkumab) were excluded. Patients who achieved a clinical response to IV risankizumab (defined as a decrease from baseline in the Adapted Mayo score ≥ 2 points and ≥ 30% from baseline, in addition to a decrease in rectal bleeding score [RBS] ≥ 1 or an absolute RBS ≤ 1) at week 12 or 24 of induction were eligible for randomization into the risankizumab phase 3 maintenance study (Figure 1). A full list of inclusion and exclusion criteria is",'35,'93.55468750
'3,'Text 34,"'included in eMethods 2.",'36,'38.20800781
'3,'Footer 2,"'© 2024 American Medical Association. All rights reserved.",'37,'77.88085938
'4,'Section header 2,"'Randomization and Masking:",'38,'44.65332031
'4,'Text 35,"'In the dose-ranging, phase 2b induction substudy, patients were randomized 1:1:1:1 via web-based Interactive Response Technologies (IRT) to receive a single dose of IV risankizumab (600 mg [n = 61], 1200 mg [n = 61], 1800 mg [n = 58]) or placebo (n = 60) at weeks 0, 4, and 8. Randomization was stratified by baseline corticosteroid use (yes, no) and baseline Adapted Mayo score (≤ 7, > 7).",'39,'90.96679688
'4,'Text 36,"'Additional patients were enrolled in the phase 2b study after enrollment completion of the dose-ranging substudy and received open-label risankizumab 1800 mg IV (n = 340). The randomization at baseline was stratified by baseline corticosteroid use (yes, no) and baseline Adapted Mayo score (≤ 7 VS. > 7). A ± 7-day window was permitted around all study visits. Nonresponding patients to risankizumab phase 2b induction therapy entered an extended treatment period for an additional 12 weeks of treatment and were randomized 1:1:1 to receive either risankizumab 1800 mg IV (every 4 weeks), 180 mg subcutaneous (SC), or 360 mg SC ([every 8 weeks], not shown). Patients who achieved clinical response to risankizumab IV or SC were enrolled in maintenance to risankizumab 180 mg, risankizumab 360 mg, or placebo SC (risankizumab withdrawal group), every 8 weeks.",'40,'96.53320313
'4,'Section header 3,"'Endpoints:",'41,'50.19531250
'4,'Text 37,"'The primary endpoint was clinical remission per Adapted Mayo score at week 12. Secondary endpoints were assessed at week 12 unless noted and included clinical response per Adapted Mayo score, clinical response per Partial Adapted Mayo (week 4), histologic endoscopic mucosal remission (HEMR), endoscopic improvement, and endoscopic remission.",'42,'92.43164063
'4,'Section header 4,"'Sample Size Calculation:",'43,'46.48437500
'4,'Text 38,"'For the phase 2b substudy, assuming a clinical remission rate of 7% in the placebo group and a maximum of 25% in at least one of the risankizumab treatment groups at week 12, a sample size of 60 patients per treatment group was sufficient to test for the presence of a dose-",'44,'92.28515625
'4,'Footer 3,"'© 2024 American Medical Association. All rights reserved.",'45,'57.66601563
'5,'Text 39,"'response signal with an average power of approximately 87% at 5% level of significance (one-sided), via modeling using the multiple comparison procedure - modeling (MCP-Mod) approach.",'46,'94.48242188
'5,'Section header 5,"'Statistical Analysis:",'47,'90.72265625
'5,'Text 40,"'Efficacy and safety analyses were performed on all randomized patients who received at least 1 dose of study drug during the induction phase 2b substudy. For the primary endpoint, the dose-response relationships among the 3 risankizumab dose groups (600 mg, 1200 mg, and 1800 mg IV) and placebo group were characterized at week 12 using the MCP-Mod approach based on the intention to treat (ITT) population. 1,2 For categorical efficacy endpoints, pairwise comparisons between each risankizumab treatment group and placebo were performed using the 2- sided Cochran-Mantel-Haenszel test and stratified by baseline corticosteroid use (yes, no) and baseline Adapted Mayo score (≤ 7, > 7). Nonresponder imputation (NRI) was used as the primary imputation method, which categorized any patient who did not have an evaluation during a prespecified visit window (either due to missing assessment or due to early placebo (withdrawal) from the study) as a nonresponder for the visit. Continuous secondary efficacy endpoints were analyzed using a mixed-effect model repeated measures (MMRM) model which includes the categorical fixed effects of treatment, visit, and treatment-by-visit interaction, stratification factors at randomization, and the continuous fixed covariates of baseline measurement.",'48,'97.21679688
'5,'Footer 4,"'© 2024 American Medical Association. All rights reserved.",'49,'86.47460938
'6,'Text 41,"'eMethods 2. Full Patient Eligibility Criteria in the Final Protocol Amendment of the Phase 2b and Phase 3 INSPIRE Induction Study",'50,'55.17578125
'6,'List 1,"",'51,'97.31445313
'6,'Text 42 - Part of List 1,"'1. Males or females ≥ 18 and ≤ 80 years of age, or minimum age of adult consent according to local regulations at the baseline visit.",'52,'96.28906250
'6,'Text 43 - Part of List 1,"'Phase 3 induction substudy only: Where locally permissible, subjects 16 to < 18 years of age who meet the definition of Tanner Stage 5 for development at the baseline visit.",'53,'95.50781250
'6,'Text 44 - Part of List 1,"'2. Confirmed diagnosis of ulcerative colitis for at least 3 months prior to baseline. Appropriate documentation of biopsy results consistent with the diagnosis of ulcerative colitis or in the assessment of the investigator, must be available.",'54,'94.58007813
'6,'Text 45 - Part of List 1,"'3. Active ulcerative colitis with an Adapted Mayo score of 5 to 9 points and endoscopic subscore of 2 to 3 (confirmed by central review).",'55,'92.62695313
'6,'Text 46 - Part of List 1,"'4. Demonstrated intolerance or inadequate response to one or more of the following categories of drugs: aminosalicylates, oral locally acting steroids, systemic steroids (prednisone or equivalent), immunosuppressants, and/or biologic therapies.",'56,'94.43359375
'6,'Text 47 - Part of List 1,"'Demonstration of intolerance requires no minimum dose or duration of use.",'57,'94.48242188
'6,'Text 48 - Part of List 1,"'Inadequate response is defined as outlined below:",'58,'92.48046875
'6,'Text 49 - Part of List 1,"'Oral aminosalicylates (eg, mesalamine, sulfasalazine, olsalazine, balsalazide):",'59,'90.33203125
'6,'Text 50 - Part of List 1,"'Signs and symptoms of persistently active disease, in the opinion of the investigator, during a current or prior course of at least 4 weeks of treatment with 2.4 g/day mesalamine (2 g/day if controlled release), 4 g/day sulfasalazine, 1 g/day olsalazine, or 6.75 g/day balsalazide.",'60,'94.48242188
'6,'Text 51 - Part of List 1,"'Oral locally acting steroids (eg, budesonide, beclomethasone):",'61,'93.45703125
'6,'Text 52 - Part of List 1,"'Signs and symptoms of persistently active disease in the opinion of the investigator, during or after a course of at least 4 weeks of treatment with 9 mg/day budesonide or 5 mg/day beclomethasone, or",'62,'95.55664063
'6,'Text 53 - Part of List 1,"'Inability to taper oral budesonide to at or below 6 mg/day without recurrent active disease,",'63,'95.45898438
'6,'Text 54 - Part of List 1,"'IV or oral systemic steroids (prednisone or equivalent):",'64,'95.41015625
'6,'Footer 5,"'© 2024 American Medical Association. All rights reserved.",'65,'78.66210938
'7,'List 2,"",'66,'96.92382813
'7,'Text 55 - Part of List 2,"'Signs and symptoms of persistently active disease in the opinion of the investigator, during or after tapering of at least one regimen consisting of a dose equivalent to prednisone ≥ 40 mg/day orally for 3 weeks or IV for 1 week, or",'67,'98.68164063
'7,'Text 56 - Part of List 2,"'Inability to taper oral systemic steroids at or below a dose equivalent to prednisone 10 mg/day without recurrent active disease,",'68,'97.94921875
'7,'Text 57 - Part of List 2,"'Immunosuppressants:",'69,'92.04101563
'7,'Text 58 - Part of List 2,"'Signs and symptoms of persistently active disease in the opinion of the investigator, during a current or prior course of at least 90 days of treatment with one or more of the following:",'70,'93.99414063
'7,'Text 59 - Part of List 2,"'Azathioprine (AZA): ≥ 2.0 mg/kg/day rounded to the nearest available tablet or half tablet formulation (≥ 1 mg/kg/day for subjects in Japan, Korea, Taiwan, Singapore, or China) (or a documented 6-TGN level of ≥ 230 pmol/8 X 10⁸ RBC)",'71,'94.77539063
'7,'Text 60 - Part of List 2,"'6-mercaptopurine (6-MP): ≥ 1 mg/kg/day rounded to the nearest available tablet or half tablet formulation (≥ 0.6 mg/kg/day for subjects in Japan, Korea, Taiwan, Singapore, or China) (or a 6 TGN level of ≥ 230 pmol/8 X 10⁸ RBC)",'72,'94.77539063
'7,'Text 61 - Part of List 2,"'Methotrexate (MTX): ≥ 15 mg/week subcutaneous (SC) or intramuscular (IM)",'73,'94.04296875
'7,'Text 62 - Part of List 2,"'Note: Oral MTX use is allowed during the study, however prior or current use of oral MTX is not sufficient for inclusion into the study",'74,'94.77539063
'7,'Text 63 - Part of List 2,"'Tacrolimus: (for Japan, Taiwan and other countries in Asia with local treatment guidelines that include tacrolimus) documented trough level 5 - 10 ng/mL",'75,'93.21289063
'7,'Text 64 - Part of List 2,"'Biologic therapies and tofacitinib for ulcerative colitis",'76,'95.36132813
'7,'Text 65 - Part of List 2,"'Signs and symptoms of persistently active disease despite a history of one or more of the following:",'77,'95.84960938
'7,'Text 66 - Part of List 2,"'At least one 6-week induction regimen of infliximab (≥ 5 mg/kg IV at weeks 0, 2, and 6),",'78,'96.19140625
'7,'Footer 6,"'© 2024 American Medical Association. All rights reserved.",'79,'86.47460938
'8,'List 3,"",'80,'77.68554688
'8,'Text 67 - Part of List 3,"'At least one 4-week induction regimen of adalimumab (one 160 mg SC dose at week 0, followed by one 80 mg SC dose at week 2 [or one 80 mg SC dose at week 0, followed by one 40 mg SC dose at week 2, in countries where this dosing regimen is approved]),",'81,'98.14453125
'8,'Text 68 - Part of List 3,"'At least one 4-week induction regimen of golimumab (200 mg SC at week 0 and 100 mg SC at week 2),",'82,'97.60742188
'8,'Text 69 - Part of List 3,"'At least one 6-week induction regimen of vedolizumab (300 mg IV at weeks 0, 2, and 6),",'83,'96.97265625
'8,'Text 70 - Part of List 3,"'At least one 8-week induction regimen of tofacitinib (10 mg per os [PO] twice daily).",'84,'94.23828125
'8,'Text 71 - Part of List 3,"'Recurrence of symptoms during scheduled maintenance dosing following prior clinical benefit of the above biologics",'85,'92.08984375
'8,'Text 72 - Part of List 3,"'Note: Subjects who discontinued biologics or tofacitinib for reasons other than inadequate response as defined above or intolerance (eg, change of insurance) must meet the criteria for intolerance or inadequate response to aminosalicylates, oral locally acting steroids, systemic steroids (prednisone or equivalent), and/or immunosuppressants as defined above.",'86,'94.67773438
'8,'Text 73 - Part of List 3,"'5. If female, subject must meet the criteria as stated in this protocol",'87,'93.50585938
'8,'Text 74 - Part of List 3,"'Contraception Recommendations Females of childbearing potential must have a negative serum pregnancy test result during screening, and a negative urine pregnancy at baseline. Females of nonchildbearing potential (either postmenopausal or permanently surgically sterile) during screening do not require pregnancy testing at baseline.",'88,'95.75195313
'8,'Text 75 - Part of List 3,"'Note: Subjects with borderline serum pregnancy test at screening must have a serum pregnancy test ≥ 3 days later to document continued lack of a positive result.",'89,'95.45898438
'8,'Text 76 - Part of List 3,"'6. Subject must be able and willing to give written informed consent and to comply with the requirements of this study protocol. In Japan, if the subject is under the legal age of adulthood, a subject's parent or legal guardian must be willing to give written informed consent.",'90,'96.58203125
'8,'Footer 7,"'© 2024 American Medical Association. All rights reserved.",'91,'80.90820313
'9,'Title 2,"'Exclusion Criteria",'92,'47.07031250
'9,'Text 77,"'1. Subject with a current diagnosis of Crohn's disease (CD) or IBD-unclassified (IBD-U) or a history of radiation colitis or ischemic colitis.",'93,'95.80078125
'9,'Section header 6,"'Concomitant Medications and Treatments",'94,'53.32031250
'9,'List 4,"",'95,'90.72265625
'9,'Text 78 - Part of List 4,"'2. Subject on oral ulcerative colitis-related antibiotics who have not been on stable doses for greater than, or discontinued within, 14 days prior to baseline.",'96,'95.50781250
'9,'Text 79 - Part of List 4,"'3. Subject on oral aminosalicylates who have not been on stable doses for greater than, or discontinued within, at least 14 days prior to baseline.",'97,'95.80078125
'9,'Text 80 - Part of List 4,"'4. Subject taking oral corticosteroids:",'98,'93.75000000
'9,'Text 81 - Part of List 4,"'Budesonide > 9 mg/day",'99,'94.23828125
'9,'Text 82 - Part of List 4,"'Beclomethasone > 5 mg/day",'100,'93.55468750
'9,'Text 83 - Part of List 4,"'Prednisone or equivalent > 20 mg/day",'101,'93.65234375
'9,'Text 84 - Part of List 4,"'Or has not been on the current course for ≥ 14 days prior to baseline and on a stable dose for ≥ 7 days prior to baseline",'102,'93.16406250
'9,'Text 85 - Part of List 4,"'5. Subject on immunosuppressants (AZA, 6-MP, MTX) who:",'103,'93.65234375
'9,'Text 86 - Part of List 4,"'Has not been on the course for ≥ 42 days prior to baseline, and",'104,'94.97070313
'9,'Text 87 - Part of List 4,"'Has not been on a stable dose for ≥ 35 days prior to baseline",'105,'94.82421875
'9,'Text 88 - Part of List 4,"'Medications and Treatments During the Screening Period",'106,'74.90234375
'9,'Text 89 - Part of List 4,"'6. Subject who received IV anti-infectives within 35 days prior to baseline visit or oral anti-infectives (nonulcerative colitis-related) within 14 days prior to the baseline visit. This does not apply to TB prophylaxis.",'107,'94.23828125
'9,'Text 90 - Part of List 4,"'7. Subject who received any parenteral nutrition within 35 days prior to baseline.",'108,'92.62695313
'9,'Footer 8,"'© 2024 American Medical Association. All rights reserved.",'109,'73.73046875
'10,'List 5,"",'110,'38.96484375
'10,'Text 91 - Part of List 5,"'8. Subject who received any live bacterial or viral vaccination within 35 days (8 weeks for Japan) prior to baseline.",'111,'98.38867188
'10,'Text 92 - Part of List 5,"'9. Subject who received cyclosporine, tacrolimus, or mycophenolate mofetil within 35 days prior to baseline.",'112,'98.09570313
'10,'Text 93 - Part of List 5,"'10. Subject who received fecal microbial transplantation within 35 days prior to baseline.",'113,'96.09375000
'10,'Text 94 - Part of List 5,"'Prior Medications and Treatments",'114,'53.32031250
'10,'Text 95 - Part of List 5,"'11. Subject who received any:",'115,'89.94140625
'10,'Text 96 - Part of List 5,"'Approved biologic agent (eg, infliximab, adalimumab, golimumab, vedolizumab) within 8 weeks prior to baseline,",'116,'93.55468750
'10,'Text 97 - Part of List 5,"'Tofacitinib within 35 days prior to baseline,",'117,'92.04101563
'10,'Text 98 - Part of List 5,"'Any investigational agent or procedure within 35 days or 5 half-lives prior to the baseline, whichever is longer, or",'118,'94.87304688
'10,'Text 99 - Part of List 5,"'Subject who is currently enrolled in another interventional clinical study.",'119,'93.84765625
'10,'Text 100 - Part of List 5,"'12. Subject with prior exposure to p40 inhibitors (eg, ustekinumab) or p19 inhibitors (eg, risankizumab).",'120,'93.50585938
'10,'Text 101 - Part of List 5,"'13. Subject has been taking combination of 2 or more of the following oral budesonides, oral beclomethasone, and/or oral prednisone (or equivalent) simultaneously, with the exception of inhalers, within 14 days prior to screening or during the screening period.",'121,'94.09179688
'10,'Text 102 - Part of List 5,"'14. Subject who received IV/intramuscular corticosteroids within 14 days prior to screening or during the screening period.",'122,'92.91992188
'10,'Text 103 - Part of List 5,"'15. Subject who received therapeutic enema or suppository (ie, rectal aminosalicylates/corticosteroids), other than required for endoscopy, within 14 days prior to screening or during the screening period.",'123,'94.58007813
'10,'Text 104 - Part of List 5,"'16. Subject who received apheresis (eg Adacolumn apheresis) ≤ 60 days prior to screening or during the screening period.",'124,'93.55468750
'10,'Text 105 - Part of List 5,"'17. Subject who has concomitant cannabis use either for recreational or medical reasons within 14 days prior to baseline or any history of clinically significant drug, or alcohol abuse in the last 12 months.",'125,'93.11523438
'10,'Footer 9,"'© 2024 American Medical Association. All rights reserved.",'126,'83.05664063
'11,'Text 106,"'Ulcerative colitis-related",'127,'49.31640625
'11,'List 6,"",'128,'85.79101563
'11,'Text 107 - Part of List 6,"'18. Extent of inflammatory disease limited to the rectum as assessed by screening endoscopy.",'129,'96.67968750
'11,'Text 108 - Part of List 6,"'19. Subject with currently known complications of ulcerative colitis such as:",'130,'96.67968750
'11,'Text 109 - Part of List 6,"'Fulminant colitis,",'131,'96.92382813
'11,'Text 110 - Part of List 6,"'Toxic megacolon,",'132,'96.67968750
'11,'Text 111 - Part of List 6,"'Previous colectomy (total or subtotal),",'133,'96.43554688
'11,'Text 112 - Part of List 6,"'Or any other manifestation that might require surgery while enrolled in the study.",'134,'95.60546875
'11,'Text 113 - Part of List 6,"'20. Subject with ostomy or ileoanal pouch.",'135,'92.67578125
'11,'Text 114 - Part of List 6,"'Safety",'136,'92.57812500
'11,'Text 115 - Part of List 6,"'21. Subject who has a known hypersensitivity to risankizumab or the excipients of any of the study drugs or the ingredients of Chinese hamster ovary (CHO).",'137,'94.58007813
'11,'Text 116 - Part of List 6,"'22. Subjects with the following chronic or active infections:",'138,'93.70117188
'11,'Text 117 - Part of List 6,"'Active, chronic, or recurrent infection that based on the investigator's clinical assessment makes the subject an unsuitable candidate for the study,",'139,'94.38476563
'11,'Text 118 - Part of List 6,"'Infection with C. difficile toxin as identified during screening,",'140,'95.80078125
'11,'Text 119 - Part of List 6,"'Known infection with an intestinal pathogen,",'141,'95.26367188
'11,'Text 120 - Part of List 6,"'Are infected with human immunodeficiency virus (HIV),",'142,'94.97070313
'11,'Text 121 - Part of List 6,"'Have active hepatitis B or hepatitis c defined as:",'143,'94.82421875
'11,'Footer 10,"'© 2024 American Medical Association. All rights reserved.",'144,'82.22656250
'12,'List 7,"",'145,'81.64062500
